team_id,sprint_id,planned_story_points,total_tasks,actual_sprint_cost,baseline_predicted_sprint_cost,residual,baseline_absolute_error,baseline_absolute_percentage_error,sprint_size_band,small_vs_large,segmented_predicted_sprint_cost,segmented_absolute_error,segmented_absolute_percentage_error,absolute_error_improvement,absolute_percentage_error_improvement,segmented_beats_baseline
T21,S1818,0.0,1,500.0,500.28380496308216,-0.2838049630821615,0.2838049630821615,0.056760992616432304,small,small,503.1773288735722,3.1773288735722076,0.6354657747144415,-2.893523910490046,-0.5787047820980092,False
T21,S1823,0.0,1,500.0,500.85439872113295,-0.8543987211329522,0.8543987211329522,0.17087974422659044,small,small,505.23137945905984,5.231379459059838,1.0462758918119675,-4.3769807379268855,-0.875396147585377,False
T21,S1830,8.0,1,500.0,2954.7931225561424,-2454.7931225561424,2454.7931225561424,490.9586245112285,medium,small,2845.6856377820245,2345.6856377820245,469.1371275564049,109.10748477411789,21.8214969548236,True
T21,S1832,0.0,2,500.0,860.400595462734,-360.40059546273403,360.40059546273403,72.0801190925468,small,small,871.5184469456659,371.5184469456659,74.30368938913318,-11.117851482931883,-2.223570296586388,False
T21,S1839,0.0,1,500.0,505.15086972458346,-5.150869724583458,5.150869724583458,1.0301739449166916,small,small,511.1444716841159,11.1444716841159,2.22889433682318,-5.993601959532441,-1.1987203919064884,False
T21,S1841,0.0,10,1500.0,1789.2580887309773,-289.2580887309773,289.2580887309773,19.283872582065154,small,small,1797.8161072698008,297.8161072698008,19.854407151320054,-8.55801853882349,-0.5705345692548995,False
T21,S1851,5.0,1,500.0,1059.5216496585158,-559.5216496585158,559.5216496585158,111.90432993170316,medium,small,1143.991087431614,643.991087431614,128.7982174863228,-84.4694377730982,-16.893887554619653,False
T21,S1854,0.0,1,500.0,508.87758648215635,-8.877586482156346,8.877586482156346,1.775517296431269,small,small,511.1444716841159,11.1444716841159,2.22889433682318,-2.2668852019595533,-0.45337704039191085,False
T21,S1858,0.0,1,500.0,513.2985671822669,-13.29856718226688,13.29856718226688,2.6597134364533757,small,small,511.1444716841159,11.1444716841159,2.22889433682318,2.15409549815098,0.4308190996301957,True
T21,S1860,0.0,3,1000.0,1607.6681952102476,-607.6681952102476,607.6681952102476,60.766819521024765,small,small,1385.2892497913376,385.2892497913376,38.52892497913376,222.37894541891,22.237894541891002,True
T21,S1862,0.0,1,500.0,539.1504297453065,-39.150429745306496,39.150429745306496,7.830085949061299,small,small,526.9801126176899,26.980112617689883,5.396022523537977,12.170317127616613,2.4340634255233224,True
T21,S1876,0.0,3,1000.0,1627.9939365932617,-627.9939365932617,627.9939365932617,62.799393659326164,small,small,1405.9771188925993,405.97711889259926,40.59771188925993,222.0168177006624,22.201681770066237,True
T21,S1881,8.0,2,1000.0,3815.0210598130857,-2815.0210598130857,2815.0210598130857,281.5021059813086,medium,small,3652.067830474761,2652.067830474761,265.2067830474761,162.9532293383245,16.295322933832495,True
T21,S1883,0.0,1,500.0,602.7564676326202,-102.75646763262023,102.75646763262023,20.551293526524045,small,small,577.7587224638489,77.75872246384893,15.551744492769783,24.997745168771303,4.999549033754262,True
T21,S1887,3.0,2,500.0,1432.7985205377238,-932.7985205377238,932.7985205377238,186.55970410754477,small,small,1392.9520349284305,892.9520349284305,178.59040698568612,39.84648560929327,7.969297121858659,True
T21,S1889,0.0,1,500.0,613.2455082321301,-113.24550823213008,113.24550823213008,22.649101646426015,small,small,600.8196319010323,100.81963190103227,20.163926380206455,12.425876331097811,2.48517526621956,True
T21,S1890,3.0,1,500.0,913.5471493297842,-413.54714932978425,413.54714932978425,82.70942986595685,small,small,850.1251245756811,350.12512457568107,70.02502491513621,63.42202475410318,12.684404950820635,True
T21,S1892,0.0,1,500.0,616.846354991714,-116.84635499171395,116.84635499171395,23.369270998342788,small,small,617.4414847437497,117.4414847437497,23.48829694874994,-0.5951297520357457,-0.11902595040715269,False
T21,S1895,0.0,2,500.0,1080.7985655677512,-580.7985655677512,580.7985655677512,116.15971311355024,small,small,1154.9269900103404,654.9269900103404,130.98539800206808,-74.12842444258922,-14.825684888517841,False
T21,S1897,2.0,1,500.0,1079.3277770291868,-579.3277770291868,579.3277770291868,115.86555540583736,small,small,1107.0715033054864,607.0715033054864,121.41430066109729,-27.74372627629964,-5.548745255259931,False
T21,S1898,0.0,5,1000.0,1553.4407210849324,-553.4407210849324,553.4407210849324,55.34407210849325,small,small,1380.9581938303036,380.95819383030357,38.09581938303035,172.48252725462885,17.248252725462898,True
T21,S1903,0.5,1,500.0,656.2562958666514,-156.25629586665139,156.25629586665139,31.251259173330276,small,small,634.391158102653,134.39115810265298,26.878231620530595,21.865137763998405,4.37302755279968,True
T21,S1905,0.0,1,500.0,616.846354991714,-116.84635499171395,116.84635499171395,23.369270998342788,small,small,617.4414847437497,117.4414847437497,23.48829694874994,-0.5951297520357457,-0.11902595040715269,False
T21,S1907,0.0,1,500.0,616.846354991714,-116.84635499171395,116.84635499171395,23.369270998342788,small,small,617.4414847437497,117.4414847437497,23.48829694874994,-0.5951297520357457,-0.11902595040715269,False
T21,S1911,13.0,2,1000.0,5269.081506181762,-4269.081506181762,4269.081506181762,426.9081506181762,medium,large,4540.662171115255,3540.6621711152548,354.0662171115255,728.4193350665073,72.84193350665072,True
T21,S1914,0.0,2,1000.0,1659.8474100894741,-659.8474100894741,659.8474100894741,65.98474100894741,small,small,1405.547134360658,405.547134360658,40.554713436065796,254.30027572881613,25.430027572881613,True
T21,S1915,5.0,4,1000.0,4050.8825962627725,-3050.8825962627725,3050.8825962627725,305.08825962627725,medium,small,4540.219975764531,3540.2199757645312,354.02199757645315,-489.33737950175873,-48.933737950175896,False
T21,S1920,0.0,1,500.0,616.9456285499058,-116.94562854990579,116.94562854990579,23.38912570998116,small,small,618.8138503746806,118.81385037468056,23.76277007493611,-1.8682218247747642,-0.3736443649549521,False
